,Test_Time (s),Cycle_Index,Voltage (V),Current (A),Cell_Temperature (C),Capacity
586,5828.423999999999,1.0,3.465,0.55,16.157,0.8018181818181818
587,5838.438999999999,1.0,3.466,0.5489999999999999,16.095,0.8036363636363636
588,5848.454,1.0,3.467,0.5489999999999999,16.095,0.8045454545454545
589,5858.468999999999,1.0,3.468,0.5489999999999999,16.095,0.8063636363636363
590,5868.4839999999995,1.0,3.468,0.5489999999999999,16.157,0.8072727272727273
591,5878.499,1.0,3.469,0.5489999999999999,16.095,0.8090909090909091
592,5888.513999999999,1.0,3.47,0.5489999999999999,16.157,0.8099999999999998
593,5898.5289999999995,1.0,3.471,0.5489999999999999,16.157,0.8118181818181818
594,5908.543999999999,1.0,3.471,0.5489999999999999,16.095,0.8127272727272726
595,5918.558999999999,1.0,3.472,0.5489999999999999,16.095,0.8145454545454544
596,5928.574,1.0,3.4730000000000003,0.5489999999999999,16.157,0.8154545454545454
597,5938.588999999999,1.0,3.4739999999999998,0.5489999999999999,16.157,0.8172727272727273
598,5948.603999999999,1.0,3.475,0.5489999999999999,16.157,0.8181818181818181
599,5958.619,1.0,3.4760000000000004,0.5489999999999999,16.157,0.82
600,5968.633999999999,1.0,3.477,0.5489999999999999,16.172,0.8209090909090908
601,5978.648999999999,1.0,3.478,0.5489999999999999,16.034000000000002,0.8227272727272726
602,5988.664,1.0,3.4789999999999996,0.5489999999999999,16.095,0.8236363636363635
603,5998.678999999999,1.0,3.48,0.5489999999999999,16.234,0.8254545454545453
604,6008.6939999999995,1.0,3.4810000000000003,0.5489999999999999,16.08,0.8272727272727273
605,6018.708999999999,1.0,3.4819999999999998,0.5489999999999999,16.157,0.828181818181818
606,6028.723999999999,1.0,3.483,0.5489999999999999,16.08,0.8299999999999998
607,6038.739,1.0,3.485,0.5489999999999999,16.157,0.8309090909090908
608,6048.753999999999,1.0,3.486,0.5489999999999999,16.157,0.8327272727272725
609,6058.768999999999,1.0,3.487,0.5489999999999999,16.157,0.8336363636363636
610,6068.784,1.0,3.489,0.5489999999999999,16.095,0.8354545454545454
611,6078.798999999999,1.0,3.49,0.5489999999999999,16.095,0.8363636363636363
612,6088.813999999999,1.0,3.492,0.5489999999999999,16.157,0.8381818181818181
613,6098.829,1.0,3.4930000000000003,0.5489999999999999,16.019000000000002,0.839090909090909
614,6108.843999999999,1.0,3.495,0.5489999999999999,16.157,0.8409090909090908
615,6118.8589999999995,1.0,3.497,0.5489999999999999,16.157,0.8418181818181817
616,6128.874,1.0,3.498,0.5489999999999999,16.08,0.8436363636363635
617,6138.888999999999,1.0,3.5,0.55,16.219,0.8445454545454545
618,6148.9039999999995,1.0,3.502,0.5489999999999999,16.157,0.8463636363636362
619,6158.918999999999,1.0,3.505,0.5489999999999999,16.08,0.8472727272727273
620,6168.933999999999,1.0,3.5060000000000002,0.5489999999999999,16.019000000000002,0.8490909090909091
621,6178.949,1.0,3.509,0.5489999999999999,16.157,0.8509090909090908
622,6188.963999999999,1.0,3.511,0.5489999999999999,16.234,0.8518181818181818
623,6198.978999999999,1.0,3.514,0.5489999999999999,16.157,0.8536363636363636
624,6208.994,1.0,3.517,0.5489999999999999,16.157,0.8545454545454544
625,6219.008999999999,1.0,3.5189999999999997,0.5489999999999999,16.095,0.8563636363636363
626,6229.023999999999,1.0,3.522,0.5489999999999999,16.234,0.8572727272727272
627,6239.039,1.0,3.5260000000000002,0.5489999999999999,16.08,0.859090909090909
628,6249.053999999999,1.0,3.529,0.55,16.142,0.8599999999999999
629,6259.0689999999995,1.0,3.532,0.5489999999999999,16.142,0.8618181818181817
630,6269.083999999999,1.0,3.536,0.5489999999999999,16.08,0.8627272727272727
631,6279.098999999999,1.0,3.54,0.5489999999999999,16.219,0.8645454545454544
632,6289.114,1.0,3.5439999999999996,0.5489999999999999,16.28,0.8654545454545455
633,6299.128999999999,1.0,3.548,0.55,16.142,0.8672727272727273
634,6309.143999999999,1.0,3.552,0.55,16.142,0.868181818181818
635,6319.159,1.0,3.557,0.5489999999999999,16.204,0.87
636,6329.173999999999,1.0,3.562,0.5489999999999999,16.295,0.8709090909090909
637,6339.188999999999,1.0,3.568,0.5489999999999999,16.219,0.8727272727272726
638,6349.204,1.0,3.573,0.5489999999999999,16.142,0.8745454545454545
639,6359.218999999999,1.0,3.5789999999999997,0.5489999999999999,16.08,0.8754545454545454
640,6369.2339999999995,1.0,3.585,0.5489999999999999,16.157,0.8772727272727272
641,6379.249,1.0,3.592,0.55,16.219,0.8781818181818181
642,6389.263999999999,1.0,3.5989999999999998,0.5489999999999999,16.157,0.8799999999999999
643,6389.951,1.0,3.6,0.5489999999999999,16.157,0.8799999999999999
644,6449.978999999999,1.0,3.6,0.37799999999999995,16.234,0.8863636363636362
645,6510.006,1.0,3.6,0.306,16.234,0.8918181818181817
646,6570.034,1.0,3.6,0.256,16.234,0.8954545454545454
647,6630.062,1.0,3.6,0.21899999999999997,16.234,0.8990909090909092
648,6690.088999999999,1.0,3.6,0.191,16.157,0.9027272727272726
649,6750.117,1.0,3.6,0.168,16.234,0.9054545454545454
650,6810.1449999999995,1.0,3.6,0.149,16.142,0.9072727272727272
651,6870.172,1.0,3.6,0.133,16.127,0.9099999999999998
652,6930.199999999999,1.0,3.6,0.121,16.204,0.9118181818181816
653,6990.227999999999,1.0,3.6,0.11,16.204,0.9136363636363635
654,7050.254999999999,1.0,3.6,0.10099999999999999,16.127,0.9154545454545455
655,7110.282999999999,1.0,3.6,0.09300000000000001,16.065,0.9163636363636363
656,7170.311,1.0,3.6,0.086,15.912,0.9181818181818181
657,7230.338,1.0,3.6,0.08,15.85,0.919090909090909
658,7290.366,1.0,3.6,0.07400000000000001,15.912,0.9199999999999999
659,7350.393999999999,1.0,3.6,0.069,15.835,0.9218181818181818
660,7410.421,1.0,3.6,0.066,15.835,0.9227272727272726
661,7470.449,1.0,3.6,0.061,15.835,0.9236363636363636
662,7530.477,1.0,3.6,0.057,15.835,0.9245454545454546
663,7590.503999999999,1.0,3.6,0.054000000000000006,15.697000000000001,0.9254545454545454
664,7650.532,1.0,3.6,0.052000000000000005,15.62,0.9263636363636364
665,7691.558999999999,1.0,3.6,0.049,15.697000000000001,0.9263636363636364
666,7751.5869999999995,1.0,3.573,0.0,15.697000000000001,0.9263636363636364
667,7811.614999999999,1.0,3.5589999999999997,0.0,15.682,0.9263636363636364
668,7871.642,1.0,3.548,0.0,15.527999999999999,0.9263636363636364
669,7931.669999999999,1.0,3.5389999999999997,0.0,15.62,0.9263636363636364
670,7991.697999999999,1.0,3.531,0.0,15.543,0.9263636363636364
671,8051.724999999999,1.0,3.5239999999999996,0.0,15.62,0.9263636363636364
672,8111.753,1.0,3.5180000000000002,0.0,15.543,0.9263636363636364
673,8171.781,1.0,3.512,0.0,15.605,0.9263636363636364
674,8231.807999999999,1.0,3.5069999999999997,0.0,15.527999999999999,0.9263636363636364
675,8291.587,1.0,3.502,0.0,15.605,0.9263636363636364